idx1,idx2,Lat,Lon,Label,Name
60,2,51.72,10.11,15,other_land
61,2,51.81,9.32,15,other_land
62,2,51.88,8.53,15,other_land
63,2,51.95,7.73,15,other_land
64,2,52.02,6.93,15,other_land
65,2,52.07,6.13,15,other_land
66,2,52.12,5.33,15,other_land
67,2,52.17,4.52,15,other_land
68,2,52.2,3.72,14,other_sea
69,2,52.23,2.91,14,other_sea
70,2,52.25,2.1,14,other_sea
71,2,52.27,1.29,15,other_land
72,2,52.27,0.47,15,other_land
73,2,52.28,-0.34,15,other_land
74,2,52.27,-1.15,15,other_land
75,2,52.26,-1.96,15,other_land
76,2,52.23,-2.77,15,other_land
77,2,52.21,-3.58,15,other_land
78,2,52.17,-4.39,15,other_land
79,2,52.13,-5.19,14,other_sea
80,2,52.08,-6.0,14,other_sea
81,2,52.03,-6.8,14,other_sea
82,2,51.96,-7.6,14,other_sea
83,2,51.9,-8.4,15,other_land
84,2,51.82,-9.19,15,other_land
85,2,51.74,-9.98,14,other_sea
86,2,51.65,-10.76,14,other_sea
87,2,51.55,-11.54,14,other_sea
88,2,51.45,-12.32,14,other_sea
89,2,51.34,-13.09,14,other_sea
90,2,51.22,-13.86,14,other_sea
91,2,51.1,-14.62,14,other_sea
92,2,50.98,-15.38,14,other_sea
93,2,50.84,-16.13,14,other_sea
94,2,50.7,-16.88,14,other_sea
95,2,50.55,-17.62,14,other_sea
96,2,50.4,-18.35,14,other_sea
97,2,50.24,-19.08,14,other_sea
98,2,50.08,-19.8,14,other_sea
99,2,49.91,-20.52,14,other_sea
100,2,49.74,-21.23,14,other_sea
101,2,49.56,-21.93,14,other_sea
102,2,49.37,-22.62,14,other_sea
103,2,49.18,-23.31,14,other_sea
104,2,48.98,-23.99,14,other_sea
105,2,48.78,-24.67,14,other_sea
106,2,48.58,-25.33,14,other_sea
107,2,48.37,-25.99,14,other_sea
108,2,48.15,-26.65,14,other_sea
109,2,47.93,-27.29,14,other_sea
110,2,47.71,-27.93,14,other_sea
111,2,47.48,-28.56,14,other_sea
112,2,47.24,-29.18,14,other_sea
113,2,47.01,-29.8,14,other_sea
114,2,46.77,-30.4,14,other_sea
115,2,46.52,-31.0,14,other_sea
116,2,46.27,-31.6,14,other_sea
117,2,46.02,-32.18,14,other_sea
118,2,45.76,-32.76,14,other_sea
119,2,45.5,-33.33,14,other_sea
120,2,45.24,-33.89,14,other_sea
121,2,44.97,-34.45,14,other_sea
122,2,44.7,-35.0,14,other_sea
123,2,44.43,-35.54,14,other_sea
124,2,44.15,-36.07,14,other_sea
125,2,43.87,-36.6,14,other_sea
126,2,43.59,-37.12,14,other_sea
127,2,43.3,-37.63,14,other_sea
128,2,43.01,-38.14,14,other_sea
129,2,42.72,-38.64,14,other_sea
130,2,42.43,-39.13,14,other_sea
131,2,42.13,-39.61,14,other_sea
132,2,41.84,-40.09,14,other_sea
133,2,41.54,-40.56,14,other_sea
134,2,41.23,-41.03,14,other_sea
135,2,40.93,-41.49,14,other_sea
136,2,40.62,-41.94,14,other_sea
137,2,40.31,-42.38,14,other_sea
138,2,40.0,-42.82,14,other_sea
139,2,39.69,-43.26,14,other_sea
140,2,39.38,-43.69,14,other_sea
141,2,39.06,-44.11,14,other_sea
142,2,38.75,-44.52,14,other_sea
143,2,38.43,-44.93,14,other_sea
144,2,38.11,-45.34,14,other_sea
145,2,37.79,-45.73,14,other_sea
1,3,38.37,45.81,15,other_land
2,3,38.69,45.41,15,other_land
3,3,39.01,45.0,15,other_land
4,3,39.34,44.59,15,other_land
5,3,39.65,44.16,15,other_land
6,3,39.97,43.74,15,other_land
7,3,40.29,43.3,15,other_land
8,3,40.6,42.87,15,other_land
9,3,40.91,42.42,15,other_land
10,3,41.22,41.97,15,other_land
11,3,41.53,41.51,14,other_sea
12,3,41.84,41.04,14,other_sea
13,3,42.14,40.57,14,other_sea
14,3,42.44,40.09,14,other_sea
15,3,42.74,39.61,14,other_sea
16,3,43.04,39.12,14,other_sea
17,3,43.33,38.62,14,other_sea
18,3,43.62,38.11,14,other_sea
19,3,43.91,37.6,14,other_sea
20,3,44.2,37.08,14,other_sea
21,3,44.48,36.55,14,other_sea
22,3,44.76,36.02,14,other_sea
23,3,45.04,35.47,14,other_sea
24,3,45.32,34.92,15,other_land
25,3,45.59,34.37,15,other_land
26,3,45.85,33.8,15,other_land
27,3,46.12,33.23,15,other_land
28,3,46.38,32.65,15,other_land
29,3,46.64,32.06,15,other_land
30,3,46.89,31.47,15,other_land
31,3,47.14,30.86,15,other_land
32,3,47.38,30.25,15,other_land
33,3,47.63,29.63,15,other_land
34,3,47.86,29.01,15,other_land
35,3,48.1,28.37,15,other_land
36,3,48.32,27.73,15,other_land
37,3,48.55,27.08,15,other_land
38,3,48.77,26.43,15,other_land
39,3,48.98,25.76,15,other_land
40,3,49.19,25.09,15,other_land
41,3,49.4,24.41,15,other_land
42,3,49.6,23.73,15,other_land
43,3,49.79,23.03,15,other_land
44,3,49.98,22.33,15,other_land
45,3,50.16,21.62,15,other_land
46,3,50.34,20.91,15,other_land
47,3,50.52,20.19,15,other_land
48,3,50.68,19.46,15,other_land
49,3,50.84,18.72,15,other_land
50,3,51.0,17.98,15,other_land
51,3,51.15,17.23,15,other_land
52,3,51.29,16.48,15,other_land
53,3,51.43,15.72,15,other_land
54,3,51.56,14.95,15,other_land
55,3,51.69,14.18,15,other_land
56,3,51.8,13.4,15,other_land
57,3,51.92,12.62,15,other_land
58,3,52.02,11.84,15,other_land
59,3,52.12,11.05,15,other_land
